group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential tasks,,,,,3236099342.0,ns,1
Sequential tasks,,,,,3250340660.0,ns,1
Sequential tasks,,,,,3217532896.0,ns,1
Sequential tasks,,,,,3197824350.0,ns,1
Sequential tasks,,,,,3199739643.0,ns,1
Sequential tasks,,,,,3200854470.0,ns,1
Sequential tasks,,,,,3216820643.0,ns,1
Sequential tasks,,,,,3215097453.0,ns,1
Sequential tasks,,,,,3315922200.0,ns,1
Sequential tasks,,,,,3317451036.0,ns,1
Sequential tasks,,,,,3198181340.0,ns,1
Sequential tasks,,,,,3233666731.0,ns,1
Sequential tasks,,,,,3299811909.0,ns,1
Sequential tasks,,,,,3315791218.0,ns,1
Sequential tasks,,,,,3522621020.0,ns,1
Sequential tasks,,,,,3574611910.0,ns,1
Sequential tasks,,,,,3355248327.0,ns,1
Sequential tasks,,,,,3289771485.0,ns,1
Sequential tasks,,,,,3246375072.0,ns,1
Sequential tasks,,,,,3258271739.0,ns,1
Sequential tasks,,,,,3226265750.0,ns,1
Sequential tasks,,,,,3203890429.0,ns,1
Sequential tasks,,,,,3191538138.0,ns,1
Sequential tasks,,,,,3200651058.0,ns,1
Sequential tasks,,,,,3195653144.0,ns,1
Sequential tasks,,,,,3197657594.0,ns,1
Sequential tasks,,,,,3201740853.0,ns,1
Sequential tasks,,,,,3196609670.0,ns,1
Sequential tasks,,,,,3220337368.0,ns,1
Sequential tasks,,,,,3460392883.0,ns,1
Sequential tasks,,,,,3358629794.0,ns,1
Sequential tasks,,,,,3360101870.0,ns,1
Sequential tasks,,,,,3260940653.0,ns,1
Sequential tasks,,,,,3243954622.0,ns,1
Sequential tasks,,,,,3292721417.0,ns,1
Sequential tasks,,,,,3198604468.0,ns,1
Sequential tasks,,,,,3232179705.0,ns,1
Sequential tasks,,,,,3278733351.0,ns,1
Sequential tasks,,,,,3281443137.0,ns,1
Sequential tasks,,,,,3299461416.0,ns,1
Sequential tasks,,,,,3348834927.0,ns,1
Sequential tasks,,,,,3463532841.0,ns,1
Sequential tasks,,,,,3396922842.0,ns,1
Sequential tasks,,,,,3327380574.0,ns,1
Sequential tasks,,,,,3287086614.0,ns,1
Sequential tasks,,,,,3221396922.0,ns,1
Sequential tasks,,,,,3204986612.0,ns,1
Sequential tasks,,,,,3223418563.0,ns,1
Sequential tasks,,,,,3308736982.0,ns,1
Sequential tasks,,,,,3212000018.0,ns,1
Sequential tasks,,,,,3249775898.0,ns,1
Sequential tasks,,,,,3320702964.0,ns,1
Sequential tasks,,,,,3237982678.0,ns,1
Sequential tasks,,,,,3302190855.0,ns,1
Sequential tasks,,,,,3290169580.0,ns,1
Sequential tasks,,,,,3315744851.0,ns,1
Sequential tasks,,,,,3288028939.0,ns,1
Sequential tasks,,,,,3227741825.0,ns,1
Sequential tasks,,,,,3304875413.0,ns,1
Sequential tasks,,,,,3192220323.0,ns,1
Sequential tasks,,,,,3195196989.0,ns,1
Sequential tasks,,,,,3201852436.0,ns,1
Sequential tasks,,,,,3199859134.0,ns,1
Sequential tasks,,,,,3193272833.0,ns,1
Sequential tasks,,,,,3198653420.0,ns,1
Sequential tasks,,,,,3193138890.0,ns,1
Sequential tasks,,,,,3198773857.0,ns,1
Sequential tasks,,,,,3196780167.0,ns,1
Sequential tasks,,,,,3234254267.0,ns,1
Sequential tasks,,,,,3313490387.0,ns,1
Sequential tasks,,,,,3208703293.0,ns,1
Sequential tasks,,,,,3264068757.0,ns,1
Sequential tasks,,,,,3322904197.0,ns,1
Sequential tasks,,,,,3316773444.0,ns,1
Sequential tasks,,,,,3216332102.0,ns,1
Sequential tasks,,,,,3200530970.0,ns,1
Sequential tasks,,,,,3195976746.0,ns,1
Sequential tasks,,,,,3198460755.0,ns,1
Sequential tasks,,,,,3208105889.0,ns,1
Sequential tasks,,,,,3197766280.0,ns,1
Sequential tasks,,,,,3209514492.0,ns,1
Sequential tasks,,,,,3200784084.0,ns,1
Sequential tasks,,,,,3196264773.0,ns,1
Sequential tasks,,,,,3200928432.0,ns,1
Sequential tasks,,,,,3206628475.0,ns,1
Sequential tasks,,,,,3196942702.0,ns,1
Sequential tasks,,,,,3247555410.0,ns,1
Sequential tasks,,,,,3206535534.0,ns,1
Sequential tasks,,,,,3204148603.0,ns,1
Sequential tasks,,,,,3193531217.0,ns,1
Sequential tasks,,,,,3202459285.0,ns,1
Sequential tasks,,,,,3200565531.0,ns,1
Sequential tasks,,,,,3205996469.0,ns,1
Sequential tasks,,,,,3196207845.0,ns,1
Sequential tasks,,,,,3202694053.0,ns,1
Sequential tasks,,,,,3203144749.0,ns,1
Sequential tasks,,,,,3196688662.0,ns,1
Sequential tasks,,,,,3204490799.0,ns,1
Sequential tasks,,,,,3204452052.0,ns,1
Sequential tasks,,,,,3208227775.0,ns,1
